pincode,city,district,state,lat,lng
133004,Baraula B.O,Ambala,Haryana,30.210836,76.758583
133005,Babyal S.O,Ambala,Haryana,30.3569444,76.8783333
133006,Ind estate S.O,Ambala,Haryana,30.3325556,76.8798333
133008,Majri S.O,Ambala,Haryana,30.378179,76.776697
133010,Defence Colony S.O,Ambala,Haryana,28.572633,77.23251
133101,Keshopur Samalkha B.O,Ambala,Haryana,30.2937,76.9207
133102,Dinarpur B.O,Ambala,Haryana,30.210964,76.900199
133103,Mustafabad S.O (Yamuna Nagar),Yamunanagar,Haryana,30.1364167,77.1342222
133104,Kalpi B.O,Ambala,Haryana,26.121,79.7484
133201,Barara S.O,Ambala,Haryana,30.2166667,77.042
133202,Saran B.O,Yamunanagar,Haryana,30.210859,77.103929
133203,Dhanaura B.O,Ambala,Haryana,28.9546,78.2647
133204,Sadiqpur B.O,Yamunanagar,Haryana,30.378,76.776
133205,Thumber B.O,Ambala,Haryana,30.16976,77.0231
133206,Sherpur Sulkhani B.O,Ambala,Haryana,30.316,77.235
133207,M.M.E.Complex Mulana S.O,Ambala,Haryana,30.2674976,77.0222963
133301,B.C.W. Suraj Pur S.O,Panchkula,Haryana,30.7742777,76.8948333
133302,Kalka R.S. S.O,Panchkula,Haryana,30.0587757,76.085601
134003,Preet Nagar S.O (Ambala),Ambala,Haryana,30.2645243,76.0385927
134005,Jandli S.O,Ambala,Haryana,30.38425,76.7716667
134007,Baknaur B.O,Ambala,Haryana,30.358442,76.763229
134008,Durga Nagar S.O,Ambala,Haryana,17.426888,78.454591
134101,H.M.T.Pinjore S.O,Panchkula,Haryana,30.7827222,76.9102778
134102,Mallah B.O,Panchkula,Haryana,30.694215,76.860559
134103,I.T.B.P.  Bhanu S.O,Panchkula,Haryana,30.6343333,76.91525
134104,C.R.P.F. Pinjore S.O,Panchkula,Haryana,30.7826389,76.9247222
134105,Amravati  Enclave SO,Panchkula,Haryana,30.38425,76.7716667
134107,Chandi Mandir Cantt S.O,Panchkula,Haryana,30.7238333,76.8759167
134108,G.K. Panchkula S.O,Panchkula,Haryana,30.7064167,76.8727778
134109,Panchkula Sector 8 S.O,Panchkula,Haryana,30.565659,76.937756
134112,Panchkula Sector 4 S.O,Panchkula,Haryana,30.565659,76.937756
134113,Industrial Estate  Panchkula S.O,Panchkula,Haryana,30.6765722,76.8369361
134114,Mansa  Devi Sec 5 S.O,Panchkula,Haryana,30.7212222,76.8525833
134116,Sector 26 Panchkula S.O,Panchkula,Haryana,30.565659,76.937756
134117,Sector 20 Panchkula S.O,Panchkula,Haryana,30.6691944,76.8578611
134118,Khatauli B.O,Panchkula,Haryana,29.36695,75.9458
134201,Fatehgarh B.O,Ambala,Haryana,30.3781788,76.7766974
134202,Kakarmajra B.O,Ambala,Haryana,30.4234973,76.9621951
134203,Bhurewala B.O,Ambala,Haryana,30.382474,77.0617433
134204,Hangola B.O,Panchkula,Haryana,30.531262,77.029812
134205,Thendog B.O,Panchkula,Haryana,30.378183,76.776692
135001,Model Town S.O (Yamuna Nagar),Yamunanagar,Haryana,18.6636256,73.780869
135002,Harnaul B.O,Yamunanagar,Haryana,27.703,77.7497
135003,Parkash Chowk S.O,Yamunanagar,Haryana,18.6636256,73.780869
135004,Shadi Pur B.O,Yamunanagar,Haryana,30.0835,77.2654
135021,Bakarwala B.O,Yamunanagar,Haryana,30.31587,77.52009
135101,Rampur Khadar B.O,Yamunanagar,Haryana,30.12878,77.39937
135102,Bilaspur (Yamunanagar) S.O,Yamunanagar,Haryana,30.1364167,77.1342222
135103,Bilauli B.O,Yamunanagar,Haryana,30.226,77.358284
135106,Pipli Majra B.O,Yamunanagar,Haryana,30.2413796,77.4873959
135133,Ghillaur B.O,Yamunanagar,Haryana,27.94896,78.8761
136020,Jajjanpur B.O,Kaithal,Haryana,29.875369,76.606611
136021,Chuhar Majra B.O,Kaithal,Haryana,29.846383,76.663193
136026,Deeg B.O,Kaithal,Haryana,29.762047,76.559555
136027,Model Town Kaithal S.O,Kaithal,Haryana,29.785673,76.398454
136030,Ramgarh Ror B.O,Kurukshetra,Haryana,29.93617,76.551097
136033,Kangthali B.O,Kaithal,Haryana,29.799859,76.4173
136034,Kharaudi B.O,Kaithal,Haryana,29.799859,76.4173
136035,Seonmajra B.O,Kaithal,Haryana,30.038024,76.298064
136038,Amin S.O,Kurukshetra,Haryana,29.5702778,76.8703056
136042,Teontha B.O,Kaithal,Haryana,29.802463,76.560383
136043,Pilni B.O,Kaithal,Haryana,29.670538,76.5168
136044,Santokh Majra B.O,Kaithal,Haryana,29.57595,76.484933
136117,Kurar B.O,Kaithal,Haryana,29.674897,76.256273
136118,Sector 3 U E KKR S.O,Kurukshetra,Haryana,29.960663,76.890856
136119,Hathira B.O,Kurukshetra,Haryana,29.955549,76.812926
136128,Bodhni B.O,Kurukshetra,Haryana,29.981417,76.589277
136129,Chammu Kalan B.O,Kurukshetra,Haryana,30.115686,76.666405
